text,type
women,concept
Women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
Women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women's health,concept
women's health,concept
women's liberation movement,concept
"women of color,",concept
ACT NOW,organization
ACT UP,organization
AH Robins,organization
AMA,organization
AMA's,organization
American College of Obstetrics and Gynecology,organization
CARASA,organization
CDC,organization
Census Bureau,organization
Chicago Women's Liberation Union,organization
Committee Against Abortion Rights and Sterilization Abuse,organization
FDA,organization
FDA,organization
FDA,organization
FDA,organization
FDA,organization
FDA,organization
FDA,organization
FDA,organization
FDA,organization
Feminist Women's Health Center,organization
Fortune 500,organization
HEW,organization
Jane,person
Jane Collective,organization
National Organization of Women,organization
National Women's Health Network,organization
Planned Parenthood,organization
Planned Parenthood,organization
Planned Parenthood,organization
Population Council,organization
Supreme Court,organization
Women's Liberation,organization
Boston,location
Carol,person
Carol Downer,location
Chicago,location
Chicago,location
England,location
"Everett, Washington",location
France,location
France,location
Minneapolis,location
New York City,location
Santa Cruz,location
Tallahassee,location
"Tallahassee, Florida",location
United States,location
United States,location
United States,location
United States,location
United States of America,location
US,location
US,location
Carol Downer,person
Florence Nightingale,person
Heidi,person
Heidi,person
Heidi,person
Heidi,person
Judith,person
Judith,person
Lorraine Rothman,person
Lucien Warner,person
Marian,person
Maxine,person
