text,type,start_char,end_char
this morning,TIME,38137,38149
many years,DATE,38288,38298
Washington,GPE,39209,39219
the next three weeks,DATE,39315,39335
the last 10 days,DATE,39976,39992
12 years,DATE,40490,40498
the Air Force,ORG,40502,40515
last year,DATE,40541,40550
DALE,ORG,40712,40716
Carter,PERSON,40765,40771
Boyle,PERSON,40779,40784
CARTER,PERSON,40794,40800
"judgment-- 

 

",PERSON,40893,40909
DALE,ORG,40951,40955
yesterday,DATE,41068,41077
HARRY PRATTER,PERSON,41283,41296
Chris,PERSON,41402,41407
Lohman,PERSON,41411,41417
English,NORP,41430,41437
Tom,PERSON,41454,41457
Shornhorse,PERSON,41461,41471
Shelley,PERSON,41479,41486
Geller,PERSON,41490,41496
Peter Lintenbaum,PERSON,41504,41520
eight,CARDINAL,41556,41561
50,MONEY,41646,41648
50,MONEY,41682,41684
400,MONEY,41706,41709
Tom,PERSON,41871,41874
Shornhorse,PERSON,41878,41888
Tom,PERSON,41953,41956
Tom,PERSON,41977,41980
eight,CARDINAL,41996,42001
Tom,PERSON,42037,42040
500,MONEY,42223,42226
tonight,TIME,42409,42416
50,MONEY,42440,42442
500,MONEY,42462,42465
500,MONEY,42567,42570
KEITH PARKER,PERSON,42669,42681
446.18,MONEY,42752,42758
I--,ORG,43002,43005
tonight,TIME,43064,43071
7:00 PM,TIME,43073,43080
Stan,PERSON,43163,43167
Vietnam,GPE,43187,43194
Edward Sherman,PERSON,43206,43220
American,NORP,43228,43236
Indo-Chinese war,EVENT,43252,43268
Julius,PERSON,43280,43286
Vietnam,GPE,43289,43296
George,PERSON,43330,43336
Jergens,ORG,43340,43347
KEITH PARKER,PERSON,43407,43419
Keith Parker,PERSON,43430,43442
the Black Panthers,ORG,43444,43462
first,ORDINAL,43656,43661
today,DATE,43882,43887
next month,DATE,43922,43932
Vietnam,GPE,44081,44088
"9,800",CARDINAL,44304,44309
four days,DATE,44379,44388
"7,000",CARDINAL,44390,44395
"12,000",CARDINAL,44445,44451
HARRY PRATTER,PERSON,44509,44522
12 plus seven,CARDINAL,44622,44635
19,CARDINAL,44642,44644
HARRY PRATTER,PERSON,44720,44733
One,CARDINAL,44752,44755
last year,DATE,44946,44955
HARRY PRATTER,PERSON,45055,45068
HARRY PRATTER,PERSON,45143,45156
HARRY PRATTER,PERSON,45245,45258
just a minute,TIME,45308,45321
Sutton--,PERSON,45621,45629
JOSEPH SUTTON,PERSON,45809,45822
DALE,PERSON,45918,45922
Sutton,PERSON,45958,45964
SUTTON,PERSON,46001,46007
DALE,PERSON,46217,46221
a moment ago,TIME,46439,46451
JOSEPH SUTTON,PERSON,46888,46901
Bloomington,GPE,46925,46936
he'll--,ORG,46962,46969
SUTTON,PERSON,47150,47156
Bloomington,GPE,47175,47186
KEITH PARKER,PERSON,47247,47259
SUTTON,PERSON,47279,47285
Arts and Sciences College,ORG,47673,47698
two,CARDINAL,48215,48218
JOSEPH SUTTON,PERSON,48539,48552
Pratter,PERSON,48561,48568
I--,ORG,49043,49046
Arts and Science,ORG,49740,49756
KEITH PARKER,PERSON,50377,50389
Pratter,PERSON,50398,50405
one,CARDINAL,50670,50673
two,CARDINAL,50711,50714
Sutton,PERSON,50741,50747
second,ORDINAL,50888,50894
JOSEPH SUTTON,PERSON,51169,51182
HARRY PRATTER,PERSON,51217,51230
just a minute,TIME,51236,51249
KEITH PARKER,PERSON,51454,51466
SUTTON,PERSON,51562,51568
KEITH PARKER,PERSON,51893,51905
SUTTON,PERSON,51926,51932
DALE,ORG,52074,52078
Harvard,ORG,52523,52530
JOSEPH SUTTON,PERSON,52541,52554
Harvard,ORG,52560,52567
JOSEPH SUTTON,PERSON,52680,52693
DALE,ORG,52851,52855
Ike,PERSON,52877,52880
Ike,PERSON,52888,52891
JOSEPH SUTTON,PERSON,52898,52911
Sutton,PERSON,53103,53109
three years,DATE,53143,53154
Thailand,GPE,53205,53213
Thailand,GPE,53273,53281
28 years,DATE,53313,53321
$1.3 million,MONEY,53349,53361
Thailand,GPE,53385,53393
Thailand,GPE,53419,53427
ROTC,ORG,53462,53466
United States,GPE,53559,53572
ROTC,ORG,53673,53677
70%,PERCENT,53687,53690
the United States Army,ORG,53710,53732
Vietnam,GPE,53736,53743
ROTC,ORG,53748,53752
ROTC,ORG,53833,53837
Vietnamese,NORP,53901,53911
Cambodian,NORP,53927,53936
American,NORP,53981,53989
DALE,PERSON,54030,54034
HARRY PRATTER,PERSON,54089,54102
JOSEPH SUTTON,PERSON,54146,54159
Thailand,GPE,54193,54201
SUTTON,PERSON,54226,54232
Thailand,GPE,54324,54332
the School of Education,ORG,54496,54519
Thailand,GPE,54596,54604
don't--,PERSON,54728,54735
I--,WORK_OF_ART,54769,54772
DALE,ORG,54820,54824
JOSEPH SUTTON,PERSON,54846,54859
SUTTON,PERSON,55076,55082
DALE,PERSON,55110,55114
Thailand,GPE,55270,55278
Thailand,GPE,55457,55465
now,DATE,55570,55573
one,CARDINAL,55764,55767
Indiana University,ORG,55798,55816
con--,ORG,55825,55830
the University of Wisconsin,ORG,55847,55874
the Michigan State University,ORG,55876,55905
the University of Minnesota,ORG,55911,55938
10,CARDINAL,55975,55977
the Ford Foundation,ORG,56210,56229
the National Institute of Development Administration,ORG,56280,56332
Thailand,GPE,56437,56445
JOSEPH SUTTON,PERSON,56449,56462
HARRY PRATTER,PERSON,56573,56586
last year,DATE,56693,56702
Snyder,PERSON,56727,56733
JOSEPH SUTTON,PERSON,56948,56961
JOSEPH SUTTON,PERSON,57153,57166
"just-- 

 

",WORK_OF_ART,57265,57277
Sutton,PERSON,57558,57564
Marty,PERSON,57692,57697
Carter,PERSON,57802,57808
first,ORDINAL,57880,57885
CARTER,PERSON,58014,58020
CARTER,PERSON,58272,58278
Yale,ORG,58359,58363
CARTER,PERSON,58422,58428
CARTER,PERSON,58591,58597
Yale,ORG,58861,58865
Carter,PERSON,58921,58927
a few minutes,TIME,58928,58941
Carter,PERSON,59219,59225
just a minute,TIME,59450,59463
Greek,NORP,59528,59533
CBS,ORG,59989,59992
Cambodia,GPE,60191,60199
Sutton,PERSON,60610,60616
"9,000",CARDINAL,60698,60703
"12,000",CARDINAL,60808,60814
40%,PERCENT,60816,60819
United States,GPE,60834,60847
"9,000",CARDINAL,61028,61033
a minute,TIME,61288,61296
Sutton,PERSON,61660,61666
"9,000",CARDINAL,61739,61744
Cambodia,GPE,61907,61915
HARRY PRATTER,PERSON,62023,62036
Sutton,PERSON,62120,62126
Sutton,PERSON,62132,62138
can--,PERSON,62152,62157
1958,DATE,62953,62957
Thailand,GPE,62980,62988
Southeast Asia,LOC,63104,63118
American,NORP,63418,63426
JOSEPH SUTTON,PERSON,63667,63680
I--,ORG,63779,63782
1970,DATE,63796,63800
One,CARDINAL,63820,63823
one,CARDINAL,63833,63836
One,CARDINAL,63890,63893
Asia,LOC,64040,64044
Africa,LOC,64049,64055
the Near East,LOC,64060,64073
European,NORP,64153,64161
Asia,LOC,64304,64308
JOSEPH SUTTON,PERSON,64518,64531
Cambodian,NORP,64590,64599
HARRY PRATTER,PERSON,64610,64623
an hour,TIME,64727,64734
for-- just a minute,TIME,64754,64773
an hour and 20 minutes,TIME,64797,64819
5:30,TIME,64836,64840
one,CARDINAL,64996,64999
Sutton,PERSON,65023,65029
two weeks,DATE,65154,65163
JOSEPH SUTTON,PERSON,65203,65216
Princeton,PERSON,65265,65274
two weeks,DATE,65300,65309
18,DATE,66093,66095
yesterday,DATE,66341,66350
Sutton,PERSON,66511,66517
two or three weeks,DATE,66740,66758
six weeks,DATE,66946,66955
election day,DATE,66962,66974
Monroe County,GPE,67051,67064
the second half,DATE,67189,67204
Carter,PERSON,67293,67299
Levy,PERSON,67307,67311
Yale,ORG,67330,67334
Yale,ORG,67394,67398
one,CARDINAL,67490,67493
one,CARDINAL,67522,67525
1952,DATE,67751,67755
1956,DATE,67763,67767
one,CARDINAL,67808,67811
Princeton,ORG,67831,67840
Princeton,PERSON,67927,67936
two,CARDINAL,67957,67960
weeks,DATE,67976,67981
hours,TIME,68050,68055
DALE,PERSON,68062,68066
"can't-- 

",PERSON,68415,68425
JOSEPH SUTTON,PERSON,68472,68485
Parker,PERSON,68707,68713
1440,DATE,69147,69151
1970,DATE,69177,69181
two,CARDINAL,69310,69313
first,ORDINAL,69347,69352
"9,000",CARDINAL,69879,69884
HARRY PRATTER,PERSON,69949,69962
CARTER,PERSON,70014,70020
"9,000",CARDINAL,71032,71037
JOSEPH SUTTON,PERSON,71085,71098
SUTTON,PERSON,71379,71385
Sutton,PERSON,71865,71871
two years ago,DATE,71873,71886
The fall of 1967,DATE,72046,72062
Byron Carter,PERSON,72323,72335
Miller,PERSON,72398,72404
Smith,PERSON,72419,72424
SUTTON,PERSON,72518,72524
JOSEPH SUTTON,PERSON,72605,72618
IU Safety,ORG,72842,72851
the IU Safety Division,ORG,72931,72953
PA,GPE,73435,73437
Gary,PERSON,73539,73543
no less than four,CARDINAL,73581,73598
tonight,TIME,73848,73855
Gary,PERSON,73905,73909
two,CARDINAL,73982,73985
two,CARDINAL,74068,74071
One,CARDINAL,74091,74094
four,CARDINAL,74139,74143
two,CARDINAL,74199,74202
four,CARDINAL,74300,74304
one,CARDINAL,74669,74672
"request-- 

HARRY PRATTER",PERSON,74678,74703
KEITH PARKER,PERSON,74796,74808
afternoon,TIME,74949,74958
"4,000",CARDINAL,75115,75120
another few thousand,CARDINAL,75149,75169
evening,TIME,75327,75334
this afternoon,TIME,75341,75355
Harry Pratter,PERSON,75367,75380
Dale Pryweller,PERSON,75406,75420
