text,label,start_char,end_char
this morning,TIME,27623,27635
today,DATE,27657,27662
daily,DATE,27725,27730
this morning,TIME,27736,27748
second,ORDINAL,28087,28093
yesterday,DATE,28140,28149
yesterday,DATE,28175,28184
this morning,TIME,28216,28228
many years,DATE,28362,28372
washington,GPE,29197,29207
the next three weeks,DATE,29292,29312
the last ten days,DATE,29944,29961
two years,DATE,30396,30405
last year,DATE,30442,30451
yesterday,DATE,30710,30719
taurus,PRODUCT,30884,30890
shelley taylor,PERSON,30895,30909
evan bauman,PERSON,30914,30925
eight,CARDINAL,30955,30960
fifty dollars,MONEY,31016,31029
fifty dollars,MONEY,31052,31065
eighth,ORDINAL,31342,31348
five hundred dollars,MONEY,31480,31500
tonight,TIME,31675,31682
fifty dollars,MONEY,31704,31717
five hundred thousand,CARDINAL,31801,31822
four hundred and thirty,CARDINAL,31928,31951
six thousand,CARDINAL,31952,31964
the night,TIME,32194,32203
seven pm,TIME,32204,32212
stan ms,PERSON,32281,32288
vietnam,GPE,32306,32313
american,NORP,32343,32351
jenny,PERSON,32363,32368
vietnam,GPE,32400,32407
minutes,TIME,32463,32470
john,PERSON,32594,32598
a moment ago,TIME,33377,33389
two percent,PERCENT,33463,33474
friday,DATE,33851,33857
eleven,CARDINAL,36921,36927
half,CARDINAL,36950,36954
one,CARDINAL,36971,36974
second,ORDINAL,37127,37133
wednesday night,TIME,37248,37263
davis,PERSON,37498,37503
three years,DATE,38412,38423
twenty years,DATE,38566,38578
three million dollars,MONEY,38605,38626
today,DATE,38655,38660
seventy percent,PERCENT,38887,38902
vietnam,GPE,38948,38955
vietnamese,NORP,39087,39097
one,CARDINAL,39400,39403
michigan,GPE,40349,40357
aaron paul,ORG,41065,41075
one,CARDINAL,41108,41111
ten years,DATE,41485,41494
the year,DATE,41890,41898
a half hour,TIME,41933,41944
just a minute,TIME,42035,42048
cambodia,GPE,42642,42650
nine thousand,CARDINAL,42973,42986
twelve thousand forty percent,PERCENT,43075,43104
just nine thousand,CARDINAL,43196,43214
nine thousand,CARDINAL,43613,43626
the night,TIME,43895,43904
nineteen fifty eight,DATE,44236,44256
american,NORP,44691,44699
eight years,DATE,44914,44925
nineteen seventy,DATE,44954,44970
one,CARDINAL,44987,44990
one,CARDINAL,44998,45001
one,CARDINAL,45026,45029
asia,LOC,45163,45167
european,NORP,45274,45282
asia,LOC,45415,45419
reagan,PERSON,45574,45580
an hour,TIME,45652,45659
an hour and twenty minutes,TIME,45696,45722
five thirty,TIME,45738,45749
two weeks,DATE,45931,45940
eighty,CARDINAL,46640,46646
yesterday,DATE,46870,46879
two was,DATE,47237,47244
three weeks,DATE,47245,47256
six weeks,DATE,47429,47438
election day,DATE,47445,47457
the second half,DATE,47661,47676
nineteen fifty two and nineteen fifty six,DATE,47966,48007
two,CARDINAL,48189,48192
weeks,DATE,48204,48209
hours,TIME,48275,48280
the john wayne,MONEY,48538,48552
ten years,DATE,48569,48578
these days ago,DATE,48635,48649
second,ORDINAL,48805,48811
ten eleven fourteen forty eight,TIME,48840,48871
nineteen seventy,DATE,48888,48904
june,DATE,49012,49016
nine thousand,CARDINAL,49315,49328
the same day,DATE,49662,49674
jewish,NORP,50008,50014
one,CARDINAL,50448,50451
iranian,NORP,50900,50907
tonight,TIME,51357,51364
three,CARDINAL,51467,51472
this afternoon,TIME,51756,51770
another few thousand,CARDINAL,51960,51980
seconds,TIME,52136,52143
