text,type,start_char,end_char
two,CARDINAL,11258,11261
three,CARDINAL,11311,11316
Four,CARDINAL,11366,11370
Five,CARDINAL,11421,11425
six,CARDINAL,11470,11473
Seven,CARDINAL,11486,11491
the 19th to early 20th centuries,DATE,11617,11649
Europe,LOC,11666,11672
the 14th century,DATE,11686,11702
Florence Nightingale,PERSON,12262,12282
the 19th and early 20th centuries,DATE,12626,12659
American,NORP,12736,12744
two,CARDINAL,12805,12808
the mid 19th century,DATE,13309,13329
the early 20th century,DATE,13350,13372
Greek,NORP,13606,13611
1974,DATE,13632,13636
Lucien Warner,PERSON,13642,13655
the same year,DATE,13885,13898
"\""The",CARDINAL,13900,13905
African,NORP,13906,13913
women--,CARDINAL,14362,14369
third,ORDINAL,14441,14446
lesbians,HOMOSAURUS_CONCEPT,14500,14508
JUDITH,PERSON,14758,14764
Judith,PERSON,14774,14780
sexuality,HOMOSAURUS_CONCEPT,14925,14934
STDs,HOMOSAURUS_CONCEPT,14959,14963
First,ORDINAL,14996,15001
third,ORDINAL,15551,15556
Depo-Provera,ORG,15599,15611
1974,DATE,15712,15716
FDA,ORG,15724,15727
US,GPE,15831,15833
the last decade,DATE,15860,15875
Two,CARDINAL,15877,15880
US,GPE,15881,15883
Latino,NORP,15919,15925
Depo-Provera,ORG,15992,16004
160th,PRODUCT,16032,16037
last year,DATE,16057,16066
$305 million,MONEY,16083,16095
STDs,HOMOSAURUS_CONCEPT,16218,16222
FDA,ORG,16244,16247
one,CARDINAL,16264,16267
the late 1950s,DATE,16300,16314
132,CARDINAL,16325,16328
Puerto Rican,NORP,16329,16341
over a year,DATE,16364,16375
718,CARDINAL,16380,16383
less than a year,DATE,16403,16419
five,CARDINAL,16437,16441
1976,DATE,16493,16497
398,CARDINAL,16519,16522
chicanas,ORG,16523,16531
76,DATE,16533,16535
10,CARDINAL,16611,16613
1970,DATE,16631,16635
the American College of Obstetrics and Gynecology,ORG,16698,16747
1968,DATE,17082,17086
FDA,ORG,17092,17095
1973,DATE,17313,17317
CDC,ORG,17323,17326
"7,900",CARDINAL,17342,17347
the first half of that year alone,DATE,17391,17424
The Dalkon Shield,PRODUCT,17561,17578
one,CARDINAL,17580,17583
one,CARDINAL,17629,17632
less than half,CARDINAL,17649,17663
a whole year,DATE,17694,17706
A year later,DATE,17708,17720
FDA,ORG,17726,17729
the Dalkon Shield,PRODUCT,17744,17761
millions,CARDINAL,17793,17801
the AH Robins,ORG,17829,17842
last year,DATE,17860,17869
$1.6 billion,MONEY,17895,17907
Sterilizations,ORG,17909,17923
two,CARDINAL,17960,17963
1979,DATE,18297,18301
American,NORP,18311,18319
Indian,NORP,18320,18326
the mid '80s,DATE,18508,18520
Medicaid,ORG,18682,18690
"about 800,000",CARDINAL,18770,18783
libido,HOMOSAURUS_CONCEPT,18878,18884
1979,DATE,18938,18942
20%,PERCENT,19130,19133
Medicaid,ORG,19441,19449
1973,DATE,19514,19518
The Supreme Court,ORG,19556,19573
first,ORDINAL,19789,19794
US,GPE,19826,19828
1987,DATE,19832,19836
TMS,ORG,20561,20564
Temporary Male Sterilization,ORG,20566,20594
One,CARDINAL,20656,20659
10,CARDINAL,20709,20711
three years,DATE,20788,20799
only one,CARDINAL,20815,20823
1975,DATE,20914,20918
first,ORDINAL,21005,21010
hundreds,CARDINAL,21103,21111
testes,HOMOSAURUS_CONCEPT,21173,21179
TMS,ORG,21188,21191
the Population Council,ORG,21216,21238
the 1970s,DATE,21242,21251
between 1976 and 1985,DATE,21424,21445
the early '80s,DATE,21462,21476
20 years,DATE,21499,21507
STDs,HOMOSAURUS_CONCEPT,21794,21798
STDs,HOMOSAURUS_CONCEPT,21818,21822
US,GPE,21847,21849
STDs,HOMOSAURUS_CONCEPT,21975,21979
STDs,HOMOSAURUS_CONCEPT,22006,22010
US,GPE,22018,22020
95%,PERCENT,22084,22087
Gram,PRODUCT,22161,22165
99%,PERCENT,22194,22197
only 50%,PERCENT,22219,22227
About 60%,PERCENT,22248,22257
80%,PERCENT,22373,22376
30% to 40%,PERCENT,22421,22431
STDs,HOMOSAURUS_CONCEPT,22658,22662
first,ORDINAL,22672,22677
second,ORDINAL,22760,22766
"About 700,000",CARDINAL,22907,22920
1977,DATE,22937,22941
1977,DATE,23213,23217
"about 3,200",CARDINAL,23266,23277
about a million,CARDINAL,23304,23319
1985,DATE,23360,23364
VD,PERSON,23585,23587
AMA,ORG,23723,23726
1974,DATE,23729,23733
VD,PERSON,23744,23746
one,CARDINAL,23759,23762
two,CARDINAL,23810,23813
the 19th century,DATE,24030,24046
England,GPE,24234,24241
the Contagious Diseases Act,LAW,24243,24270
up to five months,DATE,24418,24435
at least 1930,DATE,24505,24518
douches--,CARDINAL,24564,24573
VD,PRODUCT,24698,24700
MARIAN,PERSON,24787,24793
about eight years,DATE,24840,24857
about five,CARDINAL,24881,24891
today,DATE,25022,25027
First,ORDINAL,25081,25086
1969,DATE,25201,25205
first,ORDINAL,25221,25226
first,ORDINAL,25446,25451
two,CARDINAL,25452,25455
1970,DATE,25483,25487
Chicago,GPE,25491,25498
Minneapolis,GPE,25503,25514
1971,DATE,25528,25532
Carol Downer,PERSON,25534,25546
Lorraine Rothman,PERSON,25551,25567
25,CARDINAL,25830,25832
1973,DATE,25902,25906
35,CARDINAL,25908,25910
116,CARDINAL,25965,25968
"1,200",CARDINAL,26071,26076
1974,DATE,26080,26084
the early days,DATE,26332,26346
first,ORDINAL,26419,26424
gay community,HOMOSAURUS_CONCEPT,27950,27963
One,CARDINAL,28197,28200
the Jane Collective,ORG,28270,28289
40,CARDINAL,28311,28313
the Chicago Women's Liberation Union,ORG,28325,28361
1969,DATE,28365,28369
Jane,PERSON,28371,28375
Chicago,GPE,28402,28409
Jane,PERSON,28438,28442
Women's Liberation,ORG,28448,28466
Jane,PERSON,28552,28556
Jane,PERSON,28589,28593
Jane,PERSON,28692,28696
Jane,PERSON,28822,28826
50,MONEY,29260,29262
"11,000",CARDINAL,29277,29283
1969 to 1973,DATE,29315,29327
April 1971,DATE,29498,29508
Carol Downer,PERSON,29514,29526
uterus--,ORG,29647,29655
Carol,PERSON,30010,30015
thousands,CARDINAL,30127,30136
CRI,ORG,31802,31805
PWA,ORG,32350,32353
KS,GPE,32449,32451
PWA,ORG,32801,32804
One,CARDINAL,33136,33139
FDA,ORG,33176,33179
morning,TIME,33246,33253
Judith,PERSON,33291,33297
50s,DATE,33394,33397
'70s,DATE,33463,33467
Boston,GPE,33541,33547
1975,DATE,33551,33555
FDA,ORG,33591,33594
FDA,ORG,33658,33661
ACT UP and ACT,LAW,33764,33778
first,ORDINAL,33796,33801
FDA,ORG,33831,33834
Judith,PERSON,33946,33952
FDA,ORG,34304,34307
Heidi,PERSON,35778,35783
Planned Parenthood,ORG,37045,37063
Planned Parenthood,ORG,37373,37391
Planned Parenthood,ORG,37563,37581
one,CARDINAL,37736,37739
today,DATE,37819,37824
FDA,ORG,38022,38025
One,CARDINAL,38307,38310
the Committee Against Abortion Rights and Sterilization Abuse,ORG,38403,38464
CARASA,ORG,38466,38472
HEIDI,PERSON,38752,38757
Heidi,PERSON,38769,38774
'70s,DATE,38947,38951
the feminist health movement,ORG,38957,38985
about--,CARDINAL,38990,38997
about 40,CARDINAL,39009,39017
the '80s,DATE,39201,39209
the late '80s,DATE,39211,39224
about 15,CARDINAL,39243,39251
the United States,GPE,39277,39294
no--,WORK_OF_ART,39390,39394
the '80s,DATE,39452,39460
Republican,NORP,39479,39489
three,CARDINAL,39863,39868
three,CARDINAL,39972,39977
HEIDI,PERSON,40302,40307
Tallahassee,GPE,40949,40960
Florida,GPE,40962,40969
Tallahassee,GPE,41258,41269
five years,DATE,41381,41391
Roe versus Wade,LAW,41704,41719
the Hyde Amendment,LAW,42244,42262
1977,DATE,42274,42278
Medicaid,ORG,42334,42342
Santa Cruz,GPE,42569,42579
Roe versus Wade,LAW,43282,43297
1984,DATE,43901,43905
Everett,GPE,43952,43959
Washington,GPE,43961,43971
five months,DATE,43992,44003
four,CARDINAL,44019,44023
fourth,ORDINAL,44039,44045
1980,DATE,44164,44168
1986,DATE,44173,44177
over 100,CARDINAL,44191,44199
uh--,PERSON,44320,44324
Operation Rescue,ORG,44366,44382
homophobia,HOMOSAURUS_CONCEPT,44634,44644
one,CARDINAL,44672,44675
this day,DATE,44814,44822
30 days,DATE,45191,45198
community--,PERSON,45340,45351
Latin,NORP,45423,45428
one,CARDINAL,45732,45735
MARIAN,PERSON,45971,45977
first,ORDINAL,45998,46003
half,CARDINAL,46004,46008
a few minutes,TIME,46032,46045
Heidi,PERSON,46245,46250
HEIDI,PERSON,46354,46359
different--,CARDINAL,46582,46593
Spanish,LANGUAGE,46620,46627
30 days,DATE,46660,46667
HEIDI,PERSON,46892,46897
Marian,PERSON,47059,47065
"Our Bodies, Ourselves",WORK_OF_ART,47107,47128
first,ORDINAL,47147,47152
MARIAN,PERSON,47539,47545
three hours,TIME,47906,47917
the 10 minutes,TIME,47932,47946
1,CARDINAL,47987,47988
MARIAN,PERSON,48303,48309
15 years ago,DATE,48376,48388
What--,PERSON,48732,48738
IVDU,ORG,48871,48875
African American,NORP,48895,48911
Latino,NORP,48943,48949
MARIAN,PERSON,48961,48967
about 1977,DATE,49102,49112
1971,DATE,49189,49193
Latino,NORP,49292,49298
HEIDI,PERSON,49416,49421
Latin,NORP,49585,49590
MARIAN,PERSON,49696,49702
the National Women's Health Network,ORG,49779,49814
1976,DATE,49824,49828
the last five years,DATE,49950,49969
1,CARDINAL,49983,49984
1977,DATE,50455,50459
Medicaid,ORG,50489,50497
Heidi,PERSON,50696,50701
HEIDI,PERSON,50856,50861
Maxine,ORG,51109,51115
1,CARDINAL,51474,51475
homophobia,HOMOSAURUS_CONCEPT,51512,51522
this day,DATE,51672,51680
lesbians,HOMOSAURUS_CONCEPT,51682,51690
Roe v. Wade,LAW,51780,51791
all the years,DATE,51820,51833
Roe v. Wade,LAW,51839,51850
nights,TIME,52009,52015
second,ORDINAL,52021,52027
lesbians,HOMOSAURUS_CONCEPT,52088,52096
lesbians,HOMOSAURUS_CONCEPT,52144,52152
MARIAN,PERSON,52210,52216
about eight,CARDINAL,52281,52292
the Feminist Women's Health Center,ORG,52331,52365
JUDITH,PERSON,52464,52470
Maxine,PERSON,52493,52499
the National Organization of Women,ORG,52510,52544
'70s,DATE,52552,52556
lesbians,HOMOSAURUS_CONCEPT,52575,52583
lesbians,HOMOSAURUS_CONCEPT,52661,52669
France,GPE,52876,52882
MARIAN,PERSON,52895,52901
6,CARDINAL,52918,52919
MARIAN,PERSON,52971,52977
RU486,PRODUCT,53036,53041
RU486,PRODUCT,53389,53394
currently--,FAC,53457,53468
RU486,PRODUCT,53873,53878
1,CARDINAL,54133,54134
France,GPE,54183,54189
Catholic,NORP,54220,54228
is--,ORG,54334,54338
MARIAN,PERSON,54419,54425
JUDITH,PERSON,54598,54604
the Sunday Times Magazine,ORG,54681,54706
